title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
Hydrabadi Biryani,15138,184,"This dish is common among the Indian community in Kenya and is served with lightly flavoured steamed
rice. The method of preparation is very key to this recipe and type of fish used. This super spiced king fish
has superior taste and aroma which blends perfectly well with the fragrance of aromatic rice that is served
with it. It is mainly eaten during lunch or dinner by the entire family.","white-rice
king fish
chilli 
turmeric
coriander
cumin
garlic
ginger
green chilli
coriander
mint
yoghurt
anise
clove
cardamom
cinnamon
salt
bay
lemon
cooking oil
water","?Chop the green chillies and coriander leaves.
?Wash and cut the king fish.
?Marinade with the dry ingredients (1 1/2 tsp. red chilli
powder, 1/4 tsp. turmeric powder, 2 tsp. coriander powder, 1/2 tsp. cumin seeds, pinch of cloves, 4 anise seeds,
3 cinnamon sticks, 4 cardamoms seeds, the salt, and 3
tbsp. cooking oil. Leave to stand.
?Crush ginger and garlic into a paste. Add the paste, coriander leaves, green chillies, lemon juice and yoghurt.
?Sort, wash and soak the rice in 4 3/4 cups of water for 30
minutes.
?Into a separate pot, add 4 cups of water and the
soaked rice and start cooking.
?Add the cloves, bay leaf, cardamoms, anise seeds,
cinnamon and the cumin seeds.
?Cover the rice and boil for 25 minutes until ready and
soft.
?Remove from heat and drain the water if necessary.
?Into a separate pot, add the oil and heat for 1 minute.
Add the marinated fish and shallow fry for 6 minutes.
?Into the pot used in frying the fish, add the boiled rice
(do not stir).
?Cover the rice with the fried fish and garnish with mint
and coriander leaves.
?Steam for 5 minutes.
?Remove from heat and serve.","Energy 819 kJ/ 195 kcal | Fat 8.3 g | Carbohydrates 21.4 g | Protein 8.2 g | Fibre 0.9 g
Vitamin A 13.0 mcg | Iron 1.0 mg |  Zinc 0.62 mg",195,8.3,21.4,8.2,0.9,13,1,0.62,0.5
Stewed Nile Perch,15107,186,"This dish is dominant among the Luo and Luhya communities. Other communities as well have embraced
consumption of this recipe and is common in majority of homes in the rural areas. It is mainly served with
Ugali and eaten during lunch or dinner.","Nile perch fish
onion
tomato
cooking oil
salt
water","Preparation 5 minutes | Cooking 1 hour 20 minutes | 
Serves 4
?Wash and cut the fish into 3-4 pieces.
?Wash and chop the onion and tomatoes into separate
bowls.
?Put the fish in a pot and 3 2/3 cups of water.
?Turn on the heat and boil for 1 hour.
?In a separate cooking pot, add cooking oil and heat
for 2 minutes.
?Add onions and cook until soft. Add tomatoes and
cook until tender.
?Add salt, 3 cups of water and stir. Transfer the stewed
onions and tomatoes into the boiled fish and stir.
?Allow to simmer for 20 minutes and remove from
heat.
?Serve","Energy 522 kJ/ 125 kcal  | Fat 6.3g  | Carbohydrates 2.5 g |  Protein 14.3 g  | Fibre 0.5 g  
Vitamin A 16 mcg |  Iron 1.0 mg |  Zinc 0.51 mg",125,6.3,2.5,14.3,0.5,16,1,0.51,0.1
 Stewed Goat Meat,15108,188,"Goat meat is common across the country both in rural and urban areas. This dish is usually eaten with a
starchy dish such as Ugali, rice or chapatti. It is served during major meals and relished by the entire family","goat meat
onion
tomato
cooking oil
salt
","Preparation 5-10 minutes | Cooking 45 minutes | 
Serves 4
?Wash and cut the meat into small pieces.
?Heat oil in cooking a pot, add the chopped meat
and salt.
?Cover and steam for 10-15 minutes to release
water from the washed meat. Stir at intervals.
?Drain and keep the broth from the meat. Return
on heat and cook for 5 minutes while stirring.
?Cover to dry. Add onion and cook for 10 minutes
while stirring.
?Add tomatoes, stir and cook until the tomatoes
are tender.
?Add the drained broth and stir. Cover and cook
until ready.
?Remove from heat and serve.","Energy 925 kJ/ 222 kcal  | Fat 14.6 g |  Carbohydrates 5.2 g  | Protein 17.1 g |  Fibre 0.8 g
Vitamin A 21 mcg  | Iron 2.1 mg |  Zinc 3.04 mg",222,14.6,5.2,17.1,0.8,21,2.1,3.04,0.1
"Nyirinyiri 
(Camel Meat)",15047,190,"Nyirinyiri is very tiny tender pieces of meat. It is stored in the oil that was cooked in and lasts very long
without refrigeration. It can be eaten on its own as a breakfast snack or served with mandazi for special
guests or even sprinkled on other foods to liven up the flavour. It is a typical dish among Borana, Gabra,
Rendille, and other pastoralists?ommunities.","camel meat
camel hump
salt
","Preparation 15 minutes | Cooking 1 hour 15 minutes | 
Serves 4
?Cut camel hump into large pieces and put in a heated pan.
This is to remove the oil from the hump which was then
used in the Nyirinyiri.
?Cut the camel meat into small pieces and remove tendons
and any other inedible part.
?Put the meat in a cooking pot and add a pinch of salt (this
is optional as camel meat is usually salty.)
?Leave to boil. Before the meat juices runs out, add the prepared camel hump oil (257 g). Keep stirring so that it does
not stick to the pan.
?Cook until ready then serve.","Energy 2,171 kJ/ 521 kcal | Fat 33.6 g | Carbohydrates 20.0 g | Protein 34.6 g |  Fibre 0.0 g
Vitamin A 1 mcg | Iron 6.9 mg  | Zinc 3.62 mg",521,33.6,20,34.6,0,1,6.9,3.69,0.1
"Ikalanga
(Sheep Tail Fat)",15050,192,"Ikalanga is very similar to Nyirinyiri. It is a loved dish eaten as an accompaniment to a starch such as rice or
ugali during lunch or dinner. Rendille, Borana and Gabra, Maasai and other pastoralists communities. This
is also commonly known as Kalanga.","
sheep fat
water
salt
","Preparation 10 minutes | Cooking 40 minutes | 
Serves 4
?Cut the sheep fat into small pieces.
?Put in a cooking pot with all the water and add salt.
?Boil until the sheep fat forms dry balls.
?Keep stirring until oil separates from the balls.
?Cook until ready.",No data,0,0,0,0,0,0,0,0,0.1
"Qanchibelo
 (Beef, Maize & Wheat Flour mix)",15041,194,"Qanchibelo is a famous is a stew with balls of corn. The best Qanchibelo incorporates ?halqeetha?Moringa leaves) in the stew for a delightful and healthy meal. Alternatively, sukuma wiki (kale) may be used. It
is a traditional dish among the Burji?. Qanchibelo is eaten by the whole family as a main dish during lunch
or dinner.","
beef
water
sukuma wiki
salt
chilli
coriander
black pepper
red capsicum
green capsicum
yellow capsicum
onion
tomato
wheat flour
maize flour
","Preparation 20 minutes | Cooking 2 hours | Serves 4
?Cut meat into bite size chunks.
?Cut the onion, green capsicum, yellow capsicum,
red capsicum and tomatoes.
?Remove the stalks from sukuma wiki and tear.
Meanwhile, put the meat to boil in 10 cups water
for 1 hour 15 minutes or until it softens.
?Once the meat is cooked, add salt, red chilli, black
pepper, onion, green capsicum, yellow capsicum,
red capsicum and tomatoes. Cook for 2 minutes.
?Add the shredded sukuma wiki and continue simmering.
?Meanwhile, measure 4 1/8 cups atta flour and 2 2/3
cups maize flour into a bowl. Measure 2 1/2 cups of
water for the flour.
?Start mixing using hands until the dough is hard and
properly mixed.
?Cut dough and press on the palm to oval shapes
until all the dough has been used.
?Once done, add into the pan containing the meat.
?Keep turning periodically until cooked.","Energy 560 kJ/ 133 kcal | Fat 3.1 g | Carbohydrates 15.7 g | Protein 9.6 g | Fibre 1.7 g
Vitamin A 40 mcg |  Iron 5.9 mg | Zinc 1.97 mg",133,3.1,15.7,9.6,1.7,40,5.9,1.97,0.1
Okra Meat Dish,15137,196,"This is traditional dish among the Nubian community. It is prepared with okra and meat giving it a smooth
and soft appeal. The blend of garlic brings out a unique aroma to the dish which is enjoyed by the entire
family. It is often eaten with rice.","okra
onion
tomato
garlic
meat
cooking oil
salt
Royco-cubes
curry 
coriander
water","Preparation 15 minutes | Cooking 1 hour | Serves 4
?Wash and chop the onions, tomatoes, garlic and
coriander leaves into separate bowls.
?Put the onions in cooking oil in a pot and cook
until golden brown.
?Add meat followed by salt then stir and allow it to
cook for 10 minutes.
?Add tomatoes and simmer until the tomatoes are
tender.
?Add curry powder, 2 Royco? cubes and continue
to simmer the meat.
?Add coriander, okra and all the water.
?Allow to simmer for 5-10 minutes
?Add garlic, stir and simmer for another 15 minutes
or until ready.
?Serve.","Energy 394 kJ/ 94 kcal |  Fat 5.1 g |  Carbohydrates 3.2 g  | Protein 8.2 g  | Fibre 1.3 g   
Vitamin A 15 mcg  | Iron 5.2 mg  | Zinc 1.65 mg",94,5.1,3.2,8.2,1.3,15,5.2,1.65,0.1
"Tsiswa 
(Stewed Termites)",15072,198,"This is a traditional delicacy among the Luhya community. It was traditionally eaten by boys after circumcision. In modern practice, this dish is relished by the entire family due to its delicious taste, its satiety effect
and its dense nutrient content. It is usually eaten with Ugali during lunch or dinner and as an all-day snack.","dried termite
onion
cow
salt
","Preparation 10 minutes | Cooking 30 minutes | Serves 4 ?ash the termites. ?eel, wash and finely chop the onions. ?ut milk into a cooking pot and place on heat. ?dd onions and the washed termites. ?dd salt and stir to mix while heating. ?ontinue stirring and intervals. ?educe the heat and cook until dry. ?emove and serve.","Energy 2,136 kJ/ 515 kcal | Fat 38.8 g  | Carbohydrates 7.3 g | Protein 31.6 g | Fibre 5.1 g
Vitamin A 95 mcg | Iron 29.8 mg | Zinc 0.41 mg",515,38.8,7.3,31.6,5.1,95,29.8,0.41,0.1
" Omena wa Kukaangwa 
(Fried Omena)",15101,200,"?mena?s it is commonly known is a tiny fish mainly harvested at the Lake Victoria. As such, it is a
delicacy among the Luo community. However, other communities in Kenya have embraced it as a main
protein dish. It is mainly eaten with Ugali.","
omena
spring onion
tomato
cooking oil
salt
","Preparation 10 minutes | Cooking 30 minutes | Serves 
4
?Sort the omena and wash in hot water.
?Peel and wash the onion and tomatoes
?Cut the tomatoes, chop the onions and place into
separate bowls.
?Heat cooking oil in a cooking pot; add the washed
omena and leave to cook for 4-6 minutes without
stirring.
?Stir to allow for the other side to fry as well.
?Remove from the heat and drain the excess cooking
oil.
?Add the cut onions, turn on the heat and stir to mix
evenly.
?Cook as you stir continuously to prevent the omena
from burning.
?Add tomatoes, salt, and stir.
?Mash the tomatoes into the omena and continue
cooking.
?Remove from heat and serve.","Energy 1,863 kJ/ 450 kcal |  Fat 39.3 g  | Carbohydrates 4.6 g  | Protein 19.2 g  | Fibre 0.8 g  
Vitamin A 55 mcg |  Iron 2.3 mg |  Zinc 5.28 mg",450,39.3,4.6,19.2,0.8,55,2.3,5.28,0.1
"Fried egg 
(Mayai Ya Kukaangwa)",15022,202,"A recipe packed with nutrients, with an old style of cooking, is the fried egg! Everybody in the family
enjoys it with a dash of salt! Served mainly during breakfast, this recipe is an all-time favourite of many
children.","egg
salt
cooking oil","Preparation 5 minutes | Cooking 1 minute | Serves 1
?Break the egg into a clean bowl.
?Heat the cooking oil in a pan.
?Whisk the egg with a pinch of salt in the bowl.
?Pour the egg on the pan and fry for 30 seconds. Then turn
and fry for another 30 seconds.
?Remove and serve.","Energy 926 kJ/ 223 kcal | Fat 17.9 g | Carbohydrates 2.5 g | Protein 13.1 g | Fibre 0 g
Vitamin A 192 mcg |  Iron 1.8 mg | Zinc 1.16 mg",223,17.9,2.5,13.1,0,192,1.8,1.16,0.1
Omelette,15023,204,"Omelette is one of the legendary dishes that have become popular in Kenya among urbanite communities. Even though it uses locally grown ingredients, it is still viewed as an exotic dish. Mainly served for
breakfast, this recipe is enjoyed by the entire family","eggs
tomato
onion
salt
cooking oil","Preparation 5 minutes | Cooking 15 minutes | 
Serves 4
?Break 4 eggs into a bowl.
?Heat a little oil on a pan.
?Peel, wash and cut the onion and tomatoes into small
cubes.
?Whisk the eggs in a pinch of salt, add onions and
tomatoes and continue whisking until well mixed.
?Pour the mixture into the heated greased pan and
cook for 6 minutes, turn and cook for 6 minutes.
?Serve.","Energy 502 kJ/ 121 kcal | Fat 7.8 g | Carbohydrates 5.3 g | Protein 6.6 g | Fibre 1.5 g
Vitamin A 95 mcg | Iron 1.5 mg | Zinc 0.75 mg",121,7.8,5.3,6.6,1.5,95,1.5,0.75,0.1
Spanish Omelette,15024,206,"This is a modification of the traditional Spanish omelette. Often made with a variety of chopped vegetables in beaten eggs, the Kenyan Spanish omelette does not include fried potatoes as is the case with the
typical Spanish omelette. Sometimes, chillies are added for a peppery taste. Though exotic to Kenyan
traditional recipes, it is rapidly gaining popularity among urban dwellers in Kenya as a breakfast favourite
among the adult population.","
eggs
cooking oil
salt
onion
tomato
yellow capsicum
green capsicum
","Preparation 10 minutes | Cooking 20 minutes | 
Serves 4
?Break the eggs into a bowl and whisk them, then
add a pinch of salt.
?Add the chopped ingredients and continue to
whisk until evenly mixed.
?Heat the pan with a little oil for 2 minutes.
?Pour the mixture into the pan and allow to cook for
50 seconds.
?Then transfer into the oven and cook for 15 minutes.
?Remove from oven and serve","Energy 667 kJ/ 161 kcal  | Fat 12.9 g | Carbohydrates 3.2 g | Protein 7.5 g |  Fibre 0.8 g
Vitamin A 110 mcg | Iron 1.3 mg | Zinc 0.75 mg",161,12.9,3.2,7.5,0.8,110,1.3,0.75,0.1
"Ingokho
 (Stewed Chicken)",15070,210,"Stewed chicken is common among many communities in Kenya. It has different names but ingokho stands
out due to the way this dish is special to the Luhya community. It is eaten as a protein to a main meal and
served with Ugali or any other starch. It is savoured by the entire family.","
chicken
onions
green capsicum
salt
tomato
","Preparation 15 minutes | Cooking 1 hour 15 minutes 
| Serves 4
?Light a charcoal stove. Put a mesh over the fire to
singe any thin feathers and lightly brown the skin of
the chicken.
?After 12 minutes, cut the chicken into large chunks
and continue roasting for another 5 minutes or until
ready. Remove from the fire.
?Cut the chicken into smaller portions and return the
pieces onto the fire for another 11 minutes.
?Put the chicken onto a heated pan. Cook the chicken without added oil/ fat to brown further. Keep
turning for the chicken to cook evenly.
?Add salt to the chicken and keep turning.
?Add the whole green capsicum into the pan with
chicken. Turn the stove to low heat and let it simmer
for 9 minutes.
?Prepare the onions and tomatoes. Chop into small
pieces in separate bowls.
?Add the onions, cover and continue cooking for
another 25 minutes.
?Remove the whole green capsicum from the pot and
immediately add tomatoes.
?Continue cooking for another 13 minutes.
?Remove from the fire.
?Serve","Energy 883 kJ/ 211 kcal | Fat 12.3 g | Carbohydrates 6.4 g | Protein 18.3 g  | Fibre 1.1 g
Vitamin A 63 mcg |  Iron 2.7 mg | Zinc 1.01 mg",211,12.3,6.4,18.3,1.1,63,2.7,1.01,0.1
"Ingokho
(Fried Chicken)",15073,212,"?ngokho?s it is commonly known among the Luhya community is such a special delicacy. Traditionally, it
was eaten during special occasions such as dowry ceremonies. In modern practice, fried chicken is eaten
as part of a main meal served during lunch or supper. It is relished by the entire family and can be eaten
with Ugali, chapatti, or any other starch.","
whole chicken
salt
cooking oil","Preparation 10 minutes | Cooking 1 hour | Serves 4
?Cut the chicken into large chunks.
?Wash the meat.
?Place a pan on fire and add oil.
?Add salt to the chicken and rub in.
?Heat oil for 6 minutes.
?Gently place the chicken pieces into the pan and turn
every 3 minutes until the skin is golden brown.
?Serve hot.","Energy 2,218 kJ/ 532 kcal |  Fat 35.3 g |  Carbohydrates 9.1 g  | Protein 44.6 g  | Fibre 0.0 g  
Vitamin A 134 mcg  | Iron 5.6 mg |  Zinc 2.13 mg",532,35.3,9.1,44.6,0,134,5.6,2.13,0.1
"Aluru
 (Stewed Quails)",15102,214,"Stewed quails commonly known as ?luru?s a traditional dish typical to the Luhya and Luo communities.
Aluru was prepared during special occasions. It is commonly known as Likhanga among the Luhya community","
quail
tomato
onion
salt
cow milk
cooking oil","Preparation 10-15 minutes | Cooking 1 hour | Serves 
4
?Roast the quails for 10 minutes and remove the
innards.
?Add 3 cups of cooking oil onto a clean dry pot and
heat.
?Put in the quails and fry for 11 minutes.
?Remove and use paper towels to drain the oil.
?Wash and chop the onion and tomatoes and place
into separate bowls.
?Add 1/2 a cup of cooking oil into a separate cooking
pot and the chopped onions.
?Cook until golden brown then add the tomatoes.
?Cook it for 3 minutes or until the tomatoes are
tender.
?Add salt and stir. Cook for 5 minutes.
?Add milk followed by the fried quails.
?Cover and cook for 12 minutes.
?Remove from heat and serve.","Energy 809 kJ/ 195 kcal | Fat 14.2 g | Carbohydrates 5.2 g | Protein 11.3 g |  Fibre 0.6 g
Vitamin A 51 mcg | Iron 1.6 mg | Zinc 1.24 mg",195,14.2,5.2,11.3,0.6,51,1.6,1.24,0.1
"Likhanga
 Stewed Guinea Fowl",15095,216,This is a typical Luhya dish eaten during special occasions especially by boys after circumcision.,"guinea fowl
onion
tomato
cooking oil
salt
water","Preparation 30 minutes | Cooking 15 minutes | 
Serves 4
?Lightly roast the fresh guinea fowl for 10-15 minutes and cut into small pieces.
?Put the pieces into a clean pot and add all the
water.
?Add salt, cover and boil for 1 hour.
?Drain the water and keep in a separate bowl.
?Chop the onions, cut the tomatoes and place into
separate bowls.
?Into the boiled guinea fowl, add onions and cook
for 3- 5 minutes.
?Add cooking oil, stir and cook for 5-10 minutes
?Add tomatoes and cook for 2- 5 minutes while
stirring.
?Add the drained water and cover to cook for 2-5
minutes.
?Turn off the heat and serve.","Energy 642 kJ/ 154 kcal |  Fat 9.0 g | Carbohydrates 2.0 g | Protein 15.8 g | Fibre 0.7 g
Vitamin A 10 mcg | Iron 2.0 mg |  Zinc 1.25 mg",154,9,2,15.8,0.7,10,2,1.25,0.1
"Munono
(Cow Blood, Beef, Cow Fat)",15088,220,"Munono is a Maasai dish prepared when an animal is slaughtered and comprises of blood, beef and fat. It
is eaten by the entire family and acts as a starter while the rest of meat is cooking. It is eaten immediately
to avoid spoilage. Culturally, only men are allowed to prepare this dish as it is done at the point of slaughter (usually in a bush)","
cow blood
beef
cow fat
water","Preparation 10 minutes | Cooking 1 hour 30 minutes | 
Serves 4
?Place the cow? fat, beef and water in a pot.
?Boil the mixture until all water dries up.
?Turn off the heat and drain the oil.
?Mix the drained oil with blood.
?Add the oil-blood mixture to the meat and stir.
?Turn on the heat, cook for 3-5 minutes and remove
from heat.
?Serve while hot.","Energy 2,269 kJ/ 549 g | Fat 50.3 g | Carbohydrates 4.6 g | Protein 19.5 g | Fibre 0.0 g 
Vitamin A *No data |  Iron 16.6 mg | Zinc 3.19 mg",549,50.3,4.6,19.5,0,No data,16.6,3.19,0.1
"Malesele
(Cow Blood with Sour Milk)",15071,222,"This dish is traditional among the Luhya community. It is prepared on special ceremonies such as dowry
discussion","cow fat
cow blood
onion
sour milk
salt
tomato
","Preparation 5 minutes | Cooking 1 hour 15 minutes 
| Serves 4
?Wash, cut and put the animal fat in a clean cooking pot.
?Peel onion, wash and chop. Add the onion into
the cow? fat.
?Prepare the blood by removing the clots. Add the
pure blood into the same pot, place on fire to boil
for 15 minutes.
?Continue boiling until balls begin to form.
?Add salt and continue boiling until the mixture
dries up.
?Add sour milk; bring to a boil while stirring at
intervals until the sour milk dries up.
?Grate the tomatoes and add into the mixture and
let it boil for 2 minutes and then remove from the
fire.
?Serve.","Energy 1,395 kJ/ 335 kcal  | Fat 21.2 g  | Carbohydrates 15.4 g  | Protein 20 g | Fibre 1.0 g
Vitamin A *No data |  Iron 24.8 mg |  Zinc 1.85 mg",335,21.2,15.4,20,1,no data,24.8,1.85,0.1
"Mbuboyi
 (Blood Cooked in Fresh Milk)",15048,224,Mbuboyi is a traditional dish typical to the Rendille community,"cow blood
cow milk","Preparation 5 minutes | Cooking 20 minutes | 
Serves 4
?Pour the blood into a cooking vessel.
?Place over fire and cook the blood while stirring.
?Cook for 10 minutes and then add the fresh milk.
?Continue stirring and let it boil for 10 minutes.
?Remove from fire and serve.","Energy 410 kJ/ 97 kcal  | Fat 2.0 g  | Carbohydrates 8.3 g |  Protein 11.5 g |  Fibre 0.0 g  
Vitamin A 65 (Retinol) mcg | Iron 13.9 mg  | Zinc 1.08 mg",97,2,8.3,11.5,0,65,13.9,1.08,0.1
"Osarge Ogkole
(Fresh Blood and Milk Soup)",15089,226,"This is a traditional dish typical to the pastoralist Maasai community. It is prepared immediately after
slaughter of a cow. This soup was traditionally given to the sick to hasten their recovery. In modern day,
this recipe is enjoyed by the entire family","cow milk
cow blood","Preparation 5 minutes | Cooking 15 minutes | 
Serves 4
?Boil the milk and turn off the heat.
?Add blood to the milk and whisk.
?Serve.","Energy 340 kJ/ 81 kcal  | Fat 3.13 g  | Carbohydrates 7.0 g  | Protein 6.1 g  | Fibre 0.0 g
Vitamin A *No data |  Iron 4.7 mg  | Zinc 0.79 mg",81,3.13,7,6.1,0,No data,4.7,0.79,0.1
"Sukuma Wiki
(Stir-fried Kales)",15031,230,"Sukuma wiki is the most commonly used green vegetable in Kenya. It is commonly served with Ugali as a
side dish.","sukuma wiki
tomatoes
onion
cooking oil
salt
","Preparation 15 minutes | Cooking 20 minutes |
Serves 4
?Wash the sukuma wiki and then remove the stalks.
?Roll up a handful of sukuma wiki leaves into a
bunch and chop them finely.
?Wash, prepare and cut the onion and tomatoes
separately.
?Place a cooking pot on the fire. Add cooking oil.
?Cook the onion until golden brown.
?Add tomatoes into the pot.
?Cook tomatoes until ready.
?Add the chopped sukuma wiki and salt.
?Stir until evenly mixed.
?Simmer over low heat for 5 minutes.
?Serve hot","Energy 225 kJ/ 54 kcal | Fat 3.2 g | Carbohydrates 2.1 g | Protein 2.5 g | Fibre 3.8 g
Vitamin A 122 mcg | Iron 2.3 mg | Zinc 0.42 mg",54,3.2,2.1,2.5,3.8,122,2.3,0.42,0.1
Stir-fried Cabbage,15032,232,"Stir fried cabbage is common in many communities in Kenya. It is served with various starchy dishes as a
side dish.","cabbage
onion
cooking oil
salt","Preparation 10 minutes | Cooking 15 minutes | 
Serves 4
?Prepare and cut the onions and the cabbage into
separate bowls.
?Add the cooking oil into a cooking pot over fire
and then put the chopped onions. Stir the onion
and cook for 2 minutes.
?Add the cabbage and stir.
?Add salt and continue to stir the cabbage to cook
it evenly.
?Cook for an additional 5 minutes.
?Remove and serve.","Energy 411 kJ/ 100kcal |  Fat 8.6 g  | Carbohydrates 3.1 g  | Protein 1.2 g  | Fibre 2.4 g  
Vitamin A 0 mcg  | Iron 0.6 mg |  Zinc 0.24 mg",100,8.6,3.1,1.2,2.4,0,0.6,0.24,0.1
"Mrenda and Seveve
(Jute Mallow & Pumpkin Leaves)",15033,234,"This blend of ?renda?nd pumpkin leaves is a traditional vegetable dish among the Luhya community.
It is usually served with Ugali.","jute mallow
pumpkin
onion
salt
water
tomato
cow milk","Preparation 15 minutes | Cooking 30 minutes | 
Serves 4
?Wash and pluck the leaves from the stalks of the
jute mallow.
?Wash and chop the pumpkin leaves.
?Prepare, wash and cut the onion and tomato into
separate bowls.
?Boil all the water and put the leafy vegetables
into the boiling water and cook on low heat for 5
minutes.
?Stir the vegetables; add salt, onion and tomato.
?Cook for 5 minutes and then add all the milk.
?Stir and cook for another 5 minutes.
?Serve.","Energy 249 kJ/ 59 kcal | Fat 2.3 g | Carbohydrates 5.4 g | Protein 3.4 g | Fibre 2.0 g
Vitamin A 72 mcg | Iron 1.8 mg | Zinc 0.62 mg",59,2.3,5.4,3.4,2,72,1.8,0.62,0.1
Pumpkin Leaves,15034,236,"Pumpkin leaves are rich in nutrients and are loved by many communities in Kenya. When stir fried, they
are served with Ugali and at times pumpkin leaves are added to mashed dishes.","pumpkin leaves
onion
tomato
cooking oil
cow milk
salt","Preparation 10 minutes | Cooking 20 minutes |
Serves 4
?Wash the pumpkin leaves.
?Wash, prepare and chop the onion and tomato
into separate bowls.
?Put cooking oil in a pan, heat, and add the
chopped onions until they brown lightly.
?Add tomatoes into the cooking pot and cook for 5
minutes.
?Add the pumpkin leaves, salt and the milk gradually while stirring.
?Cook for 5 minutes.
?Serve.","Energy 410 kJ/ 99 kcal | Fat 6.7 g | Carbohydrates 5.5 g | Protein 3.2 g | Fibre 1.5 g
Vitamin A 61 mcg  | Iron 2.0 mg  | Zinc 0.67 mg",99,6.7,5.5,3.2,1.5,61,2,0.67,0.1
"Saget, Terere 
& Managu
 (Stewed Spider Plant, Amaranth & African Nightshade Leaves)",15035,238,"The mix of saget, terere and managu is a typical way of preparing a deliciously rich vegetable dish among
the Kisii and Luhya communities. This blend of vegetables is served with Ugali.","spider plant leaves
African nightshade leaves
amaranth leaves
onion
cow milk
salt
water","Preparation 15 minutes | Cooking 20 minutes | 
Serves 4
?Wash and remove the leaves from the stalks.
?Prepare and cut the onions.
?Bring 2 1/2 cups of water to a boil and add the vegetables to the boiling water. Cover and boil for 10
minutes. Do not stir the vegetables until they are fully
covered by the water.
?Turn off the heat. Strain and discard the excess water.
?Add salt to the boiled vegetables, turn on the heat.
?Add half the milk and the onion.
?Stir the mixture. Cover and simmer on low heat.
?Stir frequently to prevent the vegetables from clumping.
?Add the rest of the milk and cook for 3 minutes.
?Remove from heat.","Energy 251 kJ/ 60 kcal |  Fat 1.9 g | Carbohydrates 4.5 g  | Protein 4.3 g  | Fibre 3.8 g
Vitamin A 132 mcg  | Iron 3.3 mg  | Zinc 0.70 mg",60,1.9,4.5,4.3,3.8,132,3.3,0.7,0.1
"Nderema
(Vine Spinach)",15039,240,"Vine spinach commonly referred to as ?derema?s traditional to the Luhya and Kuria communities. It is
usually eaten with Ugali.","spinach leaves
tomato
onion
salt
ghee","Preparation 15 minutes | Cooking 20 minutes |
Serves 4
?Peel, wash and cut the onions and the tomatoes
separately.
?Put ghee in the cooking pot and heat for 1 minute
on medium heat.
?Add the onions and cook for 5 minutes until golden-brown.
?Add the tomatoes then the vine spinach and cover
the cooking pot.
?Cook for 10 minutes then stir the contents.
?Add salt, cover and cook for 1 minute.
?Serve hot.","Energy 299 kJ/ 72 kcal  | Fat 5.2 g | Carbohydrates 1.4 g | Protein 3.2 g | Fibre 3.5 g
Vitamin A 166 mcg | Iron 9.5 mg | Zinc 0.41 mg",72,5.2,1.4,3.2,3.5,166,9.5,0.41,0.1
"Terere
(Stir-fried Amaranth Leaves)",15030,242,"Amaranth leaves commonly known as ?erere?s an indigenous vegetable that used to grow as a weed.
Nowadays, it is cultivated and eaten across all communities in Kenya. When cooked, amaranth leaves
have a distinct aroma and a soft appeal. Most communities use amaranth leaves in mashed infant dishes
but also as a side dish that is eaten with Ugali","amaranth leaves
tomato
onion
salt
cooking oil","Preparation 10 minutes | Cooking 20 minutes | 
Serves 4
?Peel, wash, and cut the onion and tomatoes separately.
?Put the cooking pot on the fire and pour in the oil,
add the onion and cook until golden brown.
?Put the tomatoes into the cooking pot. Continue
stirring until the tomatoes are cooked.
?Add the amaranth and salt then mix well.
?Cover and simmer. Stir momentarily.
?Remove from fire when ready; about 10 minutes.","Energy 342 kJ/ 83 kcal | Fat 5.3 g | Carbohydrates 2.9 g | Protein 3 g | Fibre 5.5 g
Vitamin A 209 mcg | Iron 4.9 mg | Zinc 0.75 mg",83,5.3,2.9,3,5.5,209,4.9,0.75,0.1
"Mashed Pumpkin 
& Black Nightshade 
Leaves(Managu)",15120,244,"This vegetable dish is popular among the Kisii community. The added pumpkin gives it a sweet taste to
balance the bitterness of ?anagu?It is eaten with Ugali as a side dish","black night shade leaves
pumpkin
salt
cooking oil
water","Preparation 5 minutes | Cooking 1 hour | Serves 4
?Peel the pumpkin and wash.
?Pluck the leaves from the stalks and wash.
?Put the pumpkin into a cooking pot, add all the water
and salt.
?Cook the pumpkin for 30 minutes.
?Add oil and the black nightshade. Cover and cook for
20 minutes.
?Remove from the heat and mash into a smooth consistency.
?Serve.","Energy 277 kJ/ 67 kcal  | Fat 2.4 g  | Carbohydrates 4.9 g  | Protein 3.8 g  | Fibre 5.1 g
Vitamin A 88 mcg | Iron 6.7 mg  | Zinc 0.66 mg",67,2.4,4.9,3.8,5.1,88,6.7,0.66,0.1
